Year	State	Industry Sector Category	Residential	Commercial	Industrial	Transportation	Other	Total
2012	TX	Total Electric Industry	10.98	8.16	5.57	10.54	\N	8.55
2012	UT	Total Electric Industry	9.93	8.06	5.62	9.79	\N	7.84
2012	VA	Total Electric Industry	11.08	8.08	6.72	8.51	\N	9.07
2012	VT	Total Electric Industry	17.01	14.32	9.98	0	\N	14.22
2012	WA	Total Electric Industry	8.53	7.68	4.13	8.06	\N	6.94
2012	WI	Total Electric Industry	13.19	10.51	7.34	0	\N	10.28
2012	WV	Total Electric Industry	9.85	8.42	6.33	8.66	\N	8.14
2012	WY	Total Electric Industry	9.85	8.24	6.03	0	\N	7.19
2012	US	Total Electric Industry	11.88	10.09	6.67	10.21	\N	9.84
2012	AK	Full-Service Providers	17.88	14.93	16.82	0	\N	16.33
2012	AL	Full-Service Providers	11.4	10.63	6.22	0	\N	9.18
2012	AR	Full-Service Providers	9.3	7.71	5.76	11.23	\N	7.62
2012	AZ	Full-Service Providers	11.29	9.53	6.53	0	\N	9.81
2012	CA	Full-Service Providers	15.32	13.62	10.72	7.96	\N	13.8
2012	CO	Full-Service Providers	11.46	9.39	6.95	9.69	\N	9.39
2012	CT	Full-Service Providers	17.05	14.32	10.2	0	\N	15.79
2012	DC	Full-Service Providers	12.25	12.51	0	0	\N	12.35
2012	DE	Full-Service Providers	13.6	12.38	9.89	0	\N	12.77
2012	FL	Full-Service Providers	11.42	9.66	8.04	8.45	\N	10.44
2012	GA	Full-Service Providers	11.17	9.58	5.98	7.65	\N	9.37
2012	HI	Full-Service Providers	37.34	34.88	30.82	0	\N	34.04
2012	IA	Full-Service Providers	10.82	8.01	5.3	0	\N	7.71
2012	ID	Full-Service Providers	8.67	6.86	5.48	0	\N	6.92
2012	IL	Full-Service Providers	11.7	9.44	5.81	6.19	\N	10.44
2012	IN	Full-Service Providers	10.53	9.14	6.34	9.56	\N	8.29
2012	KS	Full-Service Providers	11.24	9.24	7.09	0	\N	9.33
2012	KY	Full-Service Providers	9.43	8.73	5.35	0	\N	7.26
2012	LA	Full-Service Providers	8.37	7.75	4.76	8.72	\N	6.9
2012	MA	Full-Service Providers	14.77	14.15	11.08	0	\N	14.02
2012	MD	Full-Service Providers	12.78	10.72	8.44	0	\N	12.16
2012	ME	Full-Service Providers	13.84	12.37	10.89	0	\N	12.78
2012	MI	Full-Service Providers	14.13	11.34	7.84	8.08	\N	11.36
2012	MN	Full-Service Providers	11.35	8.84	6.54	8.67	\N	8.86
2012	MO	Full-Service Providers	10.17	8.2	5.89	6.97	\N	8.53
2012	MS	Full-Service Providers	10.26	9.33	6.24	0	\N	8.6
2012	MT	Full-Service Providers	10.08	9.24	6.96	0	\N	9.27
2012	NC	Full-Service Providers	10.91	8.66	6.42	7.88	\N	9.15
2012	ND	Full-Service Providers	9.06	8.02	6.55	0	\N	7.83
2012	NE	Full-Service Providers	10.04	8.38	7.01	0	\N	8.37
2012	NH	Full-Service Providers	16.12	15.05	16.18	0	\N	15.79
2012	NJ	Full-Service Providers	15.87	13.64	8.53	9.86	\N	14.88
2012	NM	Full-Service Providers	11.37	9.32	5.83	0	\N	8.83
2012	NV	Full-Service Providers	11.83	8.92	6.67	8.4	\N	9.13
2012	NY	Full-Service Providers	17.33	16.19	7.66	13.32	\N	16.33
2012	OH	Full-Service Providers	12.02	10.68	6.37	9.23	\N	9.99
2012	OK	Full-Service Providers	9.51	7.32	5.09	0	\N	7.54
2012	OR	Full-Service Providers	9.8	8.33	5.63	8.24	\N	8.29
2012	PA	Full-Service Providers	12.75	10.95	7.56	0	\N	12.04
2012	RI	Full-Service Providers	14.41	12.38	11.65	0	\N	13.59
2012	SC	Full-Service Providers	11.77	9.63	6.02	0	\N	9.1
2012	SD	Full-Service Providers	10.07	8.1	6.57	0	\N	8.49
2012	TN	Full-Service Providers	10.1	10.31	7.08	11.28	\N	9.27
2012	TX	Full-Service Providers	10.98	8.16	5.57	10.54	\N	8.55
2012	UT	Full-Service Providers	9.93	8.06	5.62	9.79	\N	7.84
2012	VA	Full-Service Providers	11.08	8.08	6.72	8.51	\N	9.07
2012	VT	Full-Service Providers	17.01	14.32	9.98	0	\N	14.22
2012	WA	Full-Service Providers	8.53	7.68	4.12	8.06	\N	7.01
2012	WI	Full-Service Providers	13.19	10.51	7.34	0	\N	10.28
2012	WV	Full-Service Providers	9.85	8.42	6.33	8.66	\N	8.14
2012	WY	Full-Service Providers	9.85	8.24	6.03	0	\N	7.19
2012	US	Full-Service Providers	11.77	9.88	6.52	9.5	\N	9.8
2012	CA	Unregulated Service Providers	20.06	11.74	9.57	6.48	\N	10.96
2012	CT	Unregulated Service Providers	17.7	14.74	13.48	9.69	\N	15.41
2012	DC	Unregulated Service Providers	12.49	11.95	5.46	9.01	\N	11.69
2012	DE	Unregulated Service Providers	13.06	8.67	7.44	0	\N	8.35
2012	IL	Unregulated Service Providers	10	7.24	5.8	6.15	\N	6.85
2012	MA	Unregulated Service Providers	15.87	13.62	13.15	4.91	\N	13.51
2012	MD	Unregulated Service Providers	13.06	10.34	8.03	8.29	\N	10.49
2012	ME	Unregulated Service Providers	14.67	11.52	7.95	0	\N	11.8
2012	MI	Unregulated Service Providers	14.11	7.73	6.46	0	\N	7.06
2012	MT	Unregulated Service Providers	10.17	5.77	3.92	0	\N	4.02
2012	NH	Unregulated Service Providers	14.26	11.89	10.83	0	\N	11.54
2012	NJ	Unregulated Service Providers	15.28	12.39	10.96	9.77	\N	12.47
2012	NV	Unregulated Service Providers	0	6.8	4.64	0	\N	5.15
2012	NY	Unregulated Service Providers	18.83	14.45	6.26	14.31	\N	13.95
2012	OH	Unregulated Service Providers	11.28	8.84	6.14	6.86	\N	8.34
2012	OR	Unregulated Service Providers	0	7.85	5.14	0	\N	6.12
2012	PA	Unregulated Service Providers	12.76	8.93	7.2	8.07	\N	8.76
2012	RI	Unregulated Service Providers	14.02	11.41	10.36	8.28	\N	11.16
2012	WA	Unregulated Service Providers	0	4.54	4.24	0	\N	4.25
2012	US	Unregulated Service Providers	13.64	10.99	7.36	10.38	\N	10.12
2012	CA	Energy-Only Providers	7.99	5.9	5.43	5.7	\N	5.75
2012	CT	Energy-Only Providers	8.85	8.11	8.52	6.23	\N	8.37
2012	DC	Energy-Only Providers	9.13	8.27	4.12	5.97	\N	8.1
2012	DE	Energy-Only Providers	9.22	7.22	6.89	0	\N	7.16
2012	IL	Energy-Only Providers	5.61	5.28	4.77	4.94	\N	5.07
2012	MA	Energy-Only Providers	7.99	7.64	7.64	4.13	\N	7.63
2012	MD	Energy-Only Providers	9	7.7	6.57	6.93	\N	7.77
2012	ME	Energy-Only Providers	7.42	6.8	5.73	0	\N	6.76
2012	MI	Energy-Only Providers	7.48	5.75	5.42	0	\N	5.57
2012	MT	Energy-Only Providers	6.22	3.46	3.42	0	\N	3.43
2012	NH	Energy-Only Providers	7.38	6.91	7.05	0	\N	6.98
2012	NJ	Energy-Only Providers	10.45	8.02	7.1	6.76	\N	8.14
2012	NV	Energy-Only Providers	0	6.08	4.49	0	\N	4.86
2012	NY	Energy-Only Providers	8.41	7.42	3.47	9.16	\N	7.09
2012	OH	Energy-Only Providers	6.11	5.56	4.96	4.84	\N	5.45
2012	OR	Energy-Only Providers	0	4.08	3.28	0	\N	3.57
2012	PA	Energy-Only Providers	7.83	6.95	6.26	6.75	\N	6.77
2012	RI	Energy-Only Providers	7.66	6.94	7	1.76	\N	6.92
2012	WA	Energy-Only Providers	0	3.76	3.76	0	\N	3.76
2012	US	Energy-Only Providers	7.53	6.86	5.56	7.29	\N	6.51
2012	CA	Delivery-Only Service	12.07	5.84	4.14	0.78	\N	5.21
2012	CT	Delivery-Only Service	8.85	6.63	4.96	3.47	\N	7.03
2012	DC	Delivery-Only Service	3.37	3.68	1.34	3.04	\N	3.59
2012	DE	Delivery-Only Service	3.83	1.45	0.56	0	\N	1.19
2012	IL	Delivery-Only Service	4.39	1.96	1.02	1.21	\N	1.78
2012	MA	Delivery-Only Service	7.89	5.98	5.5	0.77	\N	5.88
2012	MD	Delivery-Only Service	4.06	2.64	1.46	1.36	\N	2.72
2012	ME	Delivery-Only Service	7.26	4.72	2.22	0	\N	5.04
2012	MI	Delivery-Only Service	6.64	1.98	1.04	0	\N	1.48
2012	MT	Delivery-Only Service	3.95	2.31	0.49	0	\N	0.59
2012	NH	Delivery-Only Service	6.88	4.98	3.78	0	\N	4.57
2012	NJ	Delivery-Only Service	4.83	4.36	3.86	3	\N	4.32
2012	NV	Delivery-Only Service	0	0.71	0.15	0	\N	0.29
2012	NY	Delivery-Only Service	10.42	7.03	2.8	5.15	\N	6.86
2012	OH	Delivery-Only Service	5.18	3.28	1.18	2.03	\N	2.89
2012	OR	Delivery-Only Service	0	3.77	1.85	0	\N	2.55
2012	PA	Delivery-Only Service	4.93	1.98	0.94	1.32	\N	1.99
2012	RI	Delivery-Only Service	6.36	4.47	3.36	6.52	\N	4.23
2012	WA	Delivery-Only Service	0	0.78	0.47	0	\N	0.48
2012	US	Delivery-Only Service	6.11	4.13	1.8	3.09	\N	3.61
2011	AK	Total Electric Industry	17.62	15.1	15.71	0	\N	16.08
2011	AL	Total Electric Industry	11.09	10.47	6.25	0	\N	9.1
2011	AR	Total Electric Industry	9.02	7.5	5.63	11.1	\N	7.43
2011	AZ	Total Electric Industry	11.08	9.5	6.55	0	\N	9.71
2011	CA	Total Electric Industry	14.78	13.05	10.11	8.14	\N	13.05
2011	CO	Total Electric Industry	11.27	9.44	7.06	9.79	\N	9.39
2011	CT	Total Electric Industry	18.11	15.57	13.24	10.25	\N	16.35
2011	DC	Total Electric Industry	13.4	12.9	6.89	10.19	\N	12.81
2011	DE	Total Electric Industry	13.7	10.64	8.91	0	\N	11.48
2011	FL	Total Electric Industry	11.51	9.85	8.55	8.81	\N	10.61
2011	GA	Total Electric Industry	11.05	9.87	6.6	7.94	\N	9.61
2011	HI	Total Electric Industry	34.68	32.37	28.4	0	\N	31.59
2011	IA	Total Electric Industry	10.46	7.85	5.21	0	\N	7.56
2011	ID	Total Electric Industry	7.87	6.41	5.1	0	\N	6.44
2011	IL	Total Electric Industry	11.78	8.64	6.42	6.81	\N	8.97
2011	IN	Total Electric Industry	10.06	8.77	6.17	9.74	\N	8.01
2011	KS	Total Electric Industry	10.65	8.78	6.71	0	\N	8.89
2011	KY	Total Electric Industry	9.2	8.49	5.33	0	\N	7.17
2011	LA	Total Electric Industry	8.96	8.44	5.69	8.33	\N	7.68
2011	MA	Total Electric Industry	14.67	14.33	13.38	6.14	\N	14.11
2011	MD	Total Electric Industry	13.31	11.28	8.76	9.03	\N	11.93
2011	ME	Total Electric Industry	15.38	12.29	8.88	0	\N	12.58
2011	MI	Total Electric Industry	13.27	10.33	7.32	8.53	\N	10.4
2011	MN	Total Electric Industry	10.96	8.63	6.47	8.23	\N	8.65
2011	MO	Total Electric Industry	9.75	8.04	5.85	6.9	\N	8.32
2011	MS	Total Electric Industry	10.17	9.48	6.53	0	\N	8.78
2011	MT	Total Electric Industry	9.75	9.12	5.27	0	\N	8.23
2011	NC	Total Electric Industry	10.26	8.13	6.01	7.04	\N	8.65
2011	ND	Total Electric Industry	8.58	7.61	6.24	0	\N	7.5
2011	NE	Total Electric Industry	9.32	7.99	6.43	0	\N	7.88
2011	NH	Total Electric Industry	16.52	14.04	12.27	0	\N	14.74
2011	NJ	Total Electric Industry	16.23	13.47	11.43	10.69	\N	14.3
2011	NM	Total Electric Industry	11	9.07	6.06	0	\N	8.74
2011	NV	Total Electric Industry	11.61	9.05	6.65	8.58	\N	8.97
2011	NY	Total Electric Industry	18.26	15.81	7.83	13.45	\N	15.89
2011	OH	Total Electric Industry	11.42	9.63	6.12	6.64	\N	9.03
2011	OK	Total Electric Industry	9.47	7.6	5.46	0	\N	7.8
2011	OR	Total Electric Industry	9.54	8.15	5.47	7.89	\N	8.04
2011	PA	Total Electric Industry	13.26	10.03	7.73	8.93	\N	10.45
2011	RI	Total Electric Industry	14.33	12.37	11.27	14.11	\N	13.04
2011	SC	Total Electric Industry	11.05	9.3	5.94	0	\N	8.8
2011	SD	Total Electric Industry	9.35	7.76	6.2	0	\N	8.05
2011	TN	Total Electric Industry	9.98	10.27	7.23	12.07	\N	9.28
2011	TX	Total Electric Industry	11.08	8.83	6.24	10.08	\N	9
2011	UT	Total Electric Industry	8.96	7.35	5.1	9.24	\N	7.13
2011	VA	Total Electric Industry	10.64	7.95	6.49	8.24	\N	8.84
2011	VT	Total Electric Industry	16.26	14	9.83	0	\N	13.8
2011	WA	Total Electric Industry	8.28	7.49	4.09	8.54	\N	6.78
2011	WI	Total Electric Industry	13.02	10.42	7.33	0	\N	10.21
2011	WV	Total Electric Industry	9.39	8.14	6.18	8.6	\N	7.88
2011	WY	Total Electric Industry	9.11	7.72	5.41	0	\N	6.58
2011	US	Total Electric Industry	11.72	10.24	6.82	10.46	\N	9.9
2011	AK	Full-Service Providers	17.62	15.1	15.71	0	\N	16.08
2011	AL	Full-Service Providers	11.09	10.47	6.25	0	\N	9.1
2011	AR	Full-Service Providers	9.02	7.5	5.63	11.1	\N	7.43
2011	AZ	Full-Service Providers	11.08	9.5	6.55	0	\N	9.71
2011	CA	Full-Service Providers	14.75	13.16	10.14	8.82	\N	13.22
2011	CO	Full-Service Providers	11.27	9.44	7.06	9.79	\N	9.39
2011	CT	Full-Service Providers	17.92	15.37	10.78	10.15	\N	16.67
2011	DC	Full-Service Providers	13.44	14.36	0	0	\N	13.79
2011	DE	Full-Service Providers	13.72	12.56	10.44	0	\N	12.96
2011	FL	Full-Service Providers	11.51	9.85	8.55	8.81	\N	10.61
2011	GA	Full-Service Providers	11.05	9.87	6.6	7.94	\N	9.61
2011	HI	Full-Service Providers	34.68	32.37	28.4	0	\N	31.59
2011	IA	Full-Service Providers	10.46	7.85	5.21	0	\N	7.56
2011	ID	Full-Service Providers	7.87	6.41	5.1	0	\N	6.44
2011	IL	Full-Service Providers	11.79	9.9	6.02	6.65	\N	10.75
2011	IN	Full-Service Providers	10.06	8.77	6.17	9.74	\N	8.01
2011	KS	Full-Service Providers	10.65	8.78	6.71	0	\N	8.89
2011	KY	Full-Service Providers	9.2	8.49	5.33	0	\N	7.17
2011	LA	Full-Service Providers	8.96	8.44	5.69	8.33	\N	7.68
2011	MA	Full-Service Providers	14.49	14.56	12.55	0	\N	14.22
2011	MD	Full-Service Providers	13.29	11.54	9.12	0	\N	12.75
2011	ME	Full-Service Providers	14.47	13.08	11.83	0	\N	13.53
2011	MI	Full-Service Providers	13.27	10.6	7.43	8.53	\N	10.69
2011	MN	Full-Service Providers	10.96	8.63	6.47	8.23	\N	8.65
2011	MO	Full-Service Providers	9.75	8.04	5.85	6.9	\N	8.32
2011	MS	Full-Service Providers	10.17	9.48	6.53	0	\N	8.78
2011	MT	Full-Service Providers	9.75	9.21	6.68	0	\N	9.11
2011	NC	Full-Service Providers	10.26	8.13	6.01	7.04	\N	8.64
2011	ND	Full-Service Providers	8.58	7.61	6.24	0	\N	7.5
2011	NE	Full-Service Providers	9.32	7.99	6.43	0	\N	7.88
2011	NH	Full-Service Providers	16.52	15.34	16.24	0	\N	16.11
2011	NJ	Full-Service Providers	16.23	14.22	9.49	12.15	\N	15.29
2011	NM	Full-Service Providers	11	9.07	6.06	0	\N	8.74
2011	NV	Full-Service Providers	11.61	9.11	6.84	8.58	\N	9.14
2011	NY	Full-Service Providers	18.06	17.11	9.18	11.04	\N	17.17
2011	OH	Full-Service Providers	11.57	10.31	6.05	12.11	\N	9.48
2011	OK	Full-Service Providers	9.47	7.6	5.46	0	\N	7.8
2011	OR	Full-Service Providers	9.54	8.16	5.51	7.89	\N	8.11
2011	PA	Full-Service Providers	13.24	11.67	9.06	7.65	\N	12.47
2011	RI	Full-Service Providers	14.34	12.64	11.82	0	\N	13.59
2011	SC	Full-Service Providers	11.05	9.3	5.94	0	\N	8.8
2011	SD	Full-Service Providers	9.35	7.76	6.2	0	\N	8.05
2011	TN	Full-Service Providers	9.98	10.27	7.23	12.07	\N	9.28
2011	TX	Full-Service Providers	11.08	8.83	6.24	10.08	\N	9
2011	UT	Full-Service Providers	8.96	7.35	5.1	9.24	\N	7.13
2011	VA	Full-Service Providers	10.64	7.95	6.49	8.24	\N	8.84
2011	VT	Full-Service Providers	16.26	14	9.83	0	\N	13.8
2011	WA	Full-Service Providers	8.28	7.5	4.02	8.54	\N	6.83
2011	WI	Full-Service Providers	13.02	10.42	7.33	0	\N	10.21
2011	WV	Full-Service Providers	9.39	8.14	6.18	8.6	\N	7.88
2011	WY	Full-Service Providers	9.11	7.72	5.41	0	\N	6.58
2011	US	Full-Service Providers	11.6	9.93	6.6	9.35	\N	9.79
2011	CA	Unregulated Service Providers	22.9	12.1	9.96	7.26	\N	11.29
2011	CT	Unregulated Service Providers	18.37	15.63	14.07	10.28	\N	16.15
2011	DC	Unregulated Service Providers	12.91	12.69	6.89	10.19	\N	12.45
2011	DE	Unregulated Service Providers	12.78	9.34	7.76	0	\N	8.87
2011	IL	Unregulated Service Providers	11.57	7.81	6.49	6.82	\N	7.13
2011	MA	Unregulated Service Providers	16.14	14.16	13.68	6.14	\N	13.98
2011	MD	Unregulated Service Providers	13.44	11.19	8.7	9.03	\N	11.13
2011	ME	Unregulated Service Providers	15.4	12.28	8.85	0	\N	12.56
2011	MI	Unregulated Service Providers	13.25	8.3	6.72	0	\N	7.48
2011	MT	Unregulated Service Providers	9.84	6.24	4.43	0	\N	4.54
2011	NH	Unregulated Service Providers	14.94	12.45	11.04	0	\N	11.86
2011	NJ	Unregulated Service Providers	16.3	13.03	11.94	10.58	\N	13.07
2011	NV	Unregulated Service Providers	0	7.48	4.63	0	\N	5.18
2011	NY	Unregulated Service Providers	19.27	15.04	7.22	13.87	\N	14.47
2011	OH	Unregulated Service Providers	11.04	9.09	6.2	6.45	\N	8.42
2011	OR	Unregulated Service Providers	0	7.78	4.99	0	\N	5.85
2011	PA	Unregulated Service Providers	13.33	9.2	7.53	8.93	\N	8.87
2011	RI	Unregulated Service Providers	13.96	12.08	11.03	14.11	\N	11.86
2011	WA	Unregulated Service Providers	0	5.18	4.82	0	\N	4.83
2011	US	Unregulated Service Providers	14.58	11.61	7.89	10.79	\N	10.6
2011	CA	Energy-Only Providers	10.1	6.54	5.96	6.44	\N	6.34
2011	CT	Energy-Only Providers	9.72	9.29	9.29	6.77	\N	9.39
2011	DC	Energy-Only Providers	9.69	9.07	5.55	7.17	\N	8.92
2011	DE	Energy-Only Providers	9.74	8.14	7.28	0	\N	7.87
2011	IL	Energy-Only Providers	6.97	5.93	5.5	5.59	\N	5.71
2011	MA	Energy-Only Providers	8.38	8.52	8.38	5.42	\N	8.4
2011	MD	Energy-Only Providers	9.45	8.7	7.38	7.76	\N	8.61
2011	ME	Energy-Only Providers	8.41	7.76	6.82	0	\N	7.76
2011	MI	Energy-Only Providers	7.35	6.25	5.71	0	\N	5.97
2011	MT	Energy-Only Providers	6.1	3.93	3.92	0	\N	3.92
2011	NH	Energy-Only Providers	8.11	7.83	7.54	0	\N	7.71
2011	NJ	Energy-Only Providers	11.26	8.76	8.12	7.6	\N	8.83
2011	NV	Energy-Only Providers	0	6.45	4.47	0	\N	4.85
2011	NY	Energy-Only Providers	9.34	8.19	4.33	9.02	\N	7.84
2011	OH	Energy-Only Providers	6.55	6	5.23	4.89	\N	5.83
2011	OR	Energy-Only Providers	0	4.31	3.85	0	\N	3.99
2011	PA	Energy-Only Providers	8.55	7.37	6.66	7.58	\N	7.16
2011	RI	Energy-Only Providers	7.8	7.87	7.63	8.48	\N	7.81
2011	WA	Energy-Only Providers	0	4.32	4.33	0	\N	4.33
2011	US	Energy-Only Providers	8.42	7.61	6.15	7.8	\N	7.18
2011	CA	Delivery-Only Service	12.8	5.57	4.01	0.82	\N	4.94
2011	CT	Delivery-Only Service	8.65	6.34	4.78	3.51	\N	6.76
2011	DC	Delivery-Only Service	3.22	3.62	1.34	3.02	\N	3.53
2011	DE	Delivery-Only Service	3.03	1.21	0.48	0	\N	0.99
2011	IL	Delivery-Only Service	4.6	1.88	0.99	1.23	\N	1.42
2011	MA	Delivery-Only Service	7.76	5.64	5.3	0.72	\N	5.59
2011	MD	Delivery-Only Service	3.99	2.49	1.32	1.26	\N	2.52
2011	ME	Delivery-Only Service	6.99	4.53	2.03	0	\N	4.81
2011	MI	Delivery-Only Service	5.9	2.05	1.01	0	\N	1.51
2011	MT	Delivery-Only Service	3.74	2.31	0.51	0	\N	0.62
2011	NH	Delivery-Only Service	6.83	4.62	3.5	0	\N	4.16
2011	NJ	Delivery-Only Service	5.04	4.27	3.82	2.98	\N	4.24
2011	NV	Delivery-Only Service	0	1.03	0.16	0	\N	0.33
2011	NY	Delivery-Only Service	9.93	6.85	2.89	4.85	\N	6.62
2011	OH	Delivery-Only Service	4.49	3.08	0.96	1.57	\N	2.59
2011	OR	Delivery-Only Service	0	3.47	1.14	0	\N	1.86
2011	PA	Delivery-Only Service	4.79	1.83	0.87	1.35	\N	1.71
2011	RI	Delivery-Only Service	6.16	4.21	3.4	5.63	\N	4.04
2011	WA	Delivery-Only Service	0	0.85	0.49	0	\N	0.5
2011	US	Delivery-Only Service	6.16	4.01	1.73	2.99	\N	3.42
2010	AK	Total Electric Industry	16.26	13.95	14.14	0	\N	14.76
2010	AL	Total Electric Industry	10.67	10.18	6.01	0	\N	8.89
2010	AR	Total Electric Industry	8.86	7.31	5.44	11.33	\N	7.28
2010	AZ	Total Electric Industry	10.97	9.47	6.63	0	\N	9.69
2010	CA	Total Electric Industry	14.75	13.09	9.8	8.27	\N	13.01
2010	CO	Total Electric Industry	11.04	9.13	6.9	9.34	\N	9.15
2010	CT	Total Electric Industry	19.25	16.45	14.51	11.53	\N	17.38
2010	DC	Total Electric Industry	14.01	13.42	7.74	10.95	\N	13.35
2010	DE	Total Electric Industry	13.8	11.36	9.57	0	\N	11.97
2010	FL	Total Electric Industry	11.44	9.76	8.85	8.58	\N	10.58
2010	GA	Total Electric Industry	10.07	9.06	6.22	7.46	\N	8.87
2010	HI	Total Electric Industry	28.1	25.93	21.94	0	\N	25.12
2010	IA	Total Electric Industry	10.42	7.91	5.36	0	\N	7.66
2010	ID	Total Electric Industry	7.99	6.64	5.15	0	\N	6.54
2010	IL	Total Electric Industry	11.52	8.88	6.82	6.72	\N	9.13
2010	IN	Total Electric Industry	9.56	8.38	5.87	9.21	\N	7.67
2010	KS	Total Electric Industry	10.03	8.25	6.23	0	\N	8.35
2010	KY	Total Electric Industry	8.57	7.88	5.05	0	\N	6.73
2010	LA	Total Electric Industry	8.98	8.5	5.84	9.46	\N	7.8
2010	MA	Total Electric Industry	14.59	14.53	13.71	6.4	\N	14.26
2010	MD	Total Electric Industry	14.32	11.75	9.58	9.89	\N	12.71
2010	ME	Total Electric Industry	15.72	12.52	9.17	0	\N	12.84
2010	MI	Total Electric Industry	12.46	9.81	7.08	10.65	\N	9.88
2010	MN	Total Electric Industry	10.59	8.38	6.29	7.77	\N	8.41
2010	MO	Total Electric Industry	9.08	7.5	5.5	6.14	\N	7.78
2010	MS	Total Electric Industry	9.87	9.32	6.32	0	\N	8.59
2010	MT	Total Electric Industry	9.16	8.55	5.55	0	\N	7.84
2010	NC	Total Electric Industry	10.12	8.16	6.17	7.09	\N	8.67
2010	ND	Total Electric Industry	8.13	7.21	5.81	0	\N	7.11
2010	NE	Total Electric Industry	8.94	7.64	6	0	\N	7.52
2010	NH	Total Electric Industry	16.32	14.25	12.76	0	\N	14.84
2010	NJ	Total Electric Industry	16.57	13.89	11.81	11.73	\N	14.68
2010	NM	Total Electric Industry	10.52	8.57	6.01	0	\N	8.4
2010	NV	Total Electric Industry	12.36	9.79	7.37	9.4	\N	9.73
2010	NY	Total Electric Industry	18.74	16.31	8.79	13.74	\N	16.41
2010	OH	Total Electric Industry	11.31	9.73	6.4	8.62	\N	9.14
2010	OK	Total Electric Industry	9.14	7.45	5.35	0	\N	7.59
2010	OR	Total Electric Industry	8.87	7.59	5.4	6.99	\N	7.56
2010	PA	Total Electric Industry	12.7	10.1	7.66	7.91	\N	10.31
2010	RI	Total Electric Industry	15.92	13.1	11.83	13.73	\N	14.07
2010	SC	Total Electric Industry	10.5	8.9	5.74	0	\N	8.49
2010	SD	Total Electric Industry	8.97	7.55	6.07	0	\N	7.82
2010	TN	Total Electric Industry	9.23	9.66	6.58	11.09	\N	8.61
2010	TX	Total Electric Industry	11.6	9.19	6.44	9.82	\N	9.34
